type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-02-01T00:24:30,2022-02-01T08:39:30,495,32.09070707070707,-70.82346938775845,1077.8105127598392,0.7699693707181785,1.663396666197884
IDT,2022-02-02T00:54:30,2022-02-02T09:56:30,542,31.79059040590406,-192.12519480519768,1707.425499038538,0.7691694540273265,1.6861125100509509
IDT,2022-02-03T00:15,2022-02-03T07:55:30,461,32.35119305856833,54.12521335806741,1474.9065915858373,0.75731966595975,1.6610932958702604
IDT,2022-02-04T00:10:30,2022-02-04T09:47,576,32.05277777777778,-104.26003710575242,1422.9473530161195,0.757935641718919,1.6565882101257365
IDT,2022-02-05T01:07:30,2022-02-05T08:59:30,472,32.104025423728814,-61.24641929499194,1353.4696480433922,0.748785130816316,1.6370119167324615
IDT,2022-02-06T01:39,2022-02-06T11:06:30,556,32.03201438848921,-62.856103896105196,1438.416060785763,0.671198519352458,1.6346047729758422
IDT,2022-02-07T01:13,2022-02-07T08:50:30,447,32.50536912751678,161.05597402597232,870.4562567548128,0.6231618992115844,1.6335983850481088
IDT,2022-02-08T00:52,2022-02-08T09:58:30,547,31.181718464351004,-526.9505194805206,2305.553107826039,0.6561751697376749,1.649719105720936
IDT,2022-02-09T00:19:30,2022-02-09T09:45:30,566,32.57862190812721,195.17781076066603,986.5758795288857,0.623572474282257,1.6308265608125412
IDT,2022-02-09T23:30:30,2022-02-10T08:22,531,32.36892655367232,20.791638126363978,1136.291397770401,0.6101749794018135,1.6255310699740664
IDT,2022-02-11T00:59:30,2022-02-11T08:36:30,457,32.10919037199125,-100.80531332627652,590.0370923299342,0.6041825296244078,1.5997479146779807
IDT,2022-02-12T00:14:30,2022-02-12T09:51,576,33.263194444444444,537.6519464421544,1526.3566935991403,0.552272923356623,1.5888645271505306
IDT,2022-02-12T23:38,2022-02-13T08:56,558,33.080824372759864,419.0878231158349,1254.6421747026034,0.5567219048232145,1.5774591696066547
IDT,2022-02-13T22:52,2022-02-14T07:02:30,484,31.588429752066116,-348.4408163265307,1402.6043852940202,0.5631921705891266,1.58209651511152
IDT,2022-02-14T22:57:30,2022-02-15T05:32,394,30.50837563451777,-679.8112059369232,1531.7348368461244,0.6421085376053749,1.5931643202074628
IDT,2022-02-15T22:39,2022-02-16T09:26:30,648,31.760802469135804,-297.3195547309806,2359.5224654711783,0.6477746117187501,1.6091379954410656
IDT,2022-02-16T23:17:30,2022-02-17T08:56:30,579,31.50587219343696,-355.6087945096442,1438.8069684503134,0.6419292245666669,1.6110475769715182
IDT,2022-02-18T02:49:30,2022-02-18T07:42,292,30.65342465753425,-424.3295061751287,943.8951020918321,0.6975654581952557,1.6187972501794934
IDT,2022-02-19T00:16,2022-02-19T09:21:30,546,31.896336996336995,-109.7619709809951,1770.3180407942273,0.6968811658420699,1.6218468985018977
IDT,2022-02-20T01:16:30,2022-02-20T09:27,490,32.133265306122446,17.590538863207257,1103.0392593010329,0.6957732740478875,1.6180552505979287
IDT,2022-02-21T00:46:30,2022-02-21T08:38,471,32.06284501061571,-6.56151515151214,960.531196350581,0.6887085808444232,1.623745244417238
IDT,2022-02-22T01:08,2022-02-22T08:45:30,458,32.724890829694324,296.8365733770861,1091.860417673015,0.6735054205450685,1.6194067754031374
IDT,2022-02-22T23:57:30,2022-02-23T07:13:30,436,33.34564220183486,544.2483162129774,1313.4938066529576,0.7126584177549264,1.6199277152079636
IDT,2022-02-24T00:44,2022-02-24T07:29:30,406,31.844827586206893,-94.17107250852314,1760.4469726537354,0.6951075358579674,1.6254505106999655
IDT,2022-02-25T00:12,2022-02-25T10:07:30,596,31.798993288590605,-154.2555909412622,1934.563535799738,0.6757249655523375,1.642669142464543
IDT,2022-02-26T02:11:30,2022-02-26T09:15,423,30.436406619385345,-685.8542197452243,2425.466644780943,0.712492620148132,1.6646694542085196
IDT,2022-02-27T01:06:30,2022-02-27T09:42:30,516,33.39515503875969,680.2835630187255,1913.4494498325512,0.7559063768104174,1.6834442821972357
IDT,2022-02-28T00:15,2022-02-28T08:15,480,32.240833333333335,78.74750048253554,763.9987684005173,0.7565372636561666,1.6770932968431476
IDT,2022-03-01T01:01:30,2022-03-01T09:24:30,503,31.408747514910537,-326.479131280963,1865.507322389516,0.7493189391846586,1.6890164741945115
