type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-03-01T01:01:30,2022-03-01T09:24:30,503,31.408747514910537,-326.479131280963,1865.507322389516,0.7493189391846586,1.6890164741945115
IDT,2022-03-02T00:05:30,2022-03-02T08:03,477,33.55974842767296,707.3778286045181,1421.1289568160428,0.795411249443618,1.695962244513296
IDT,2022-03-03T02:21,2022-03-03T09:20:30,420,31.10285714285714,-401.08078556263354,1050.8503727322677,0.8151185478987186,1.698764445609737
IDT,2022-03-04T03:11,2022-03-04T11:09,478,32.75125523012552,319.217966191658,839.0343931788811,0.8235570369748725,1.6864699006886723
IDT,2022-03-05T01:31,2022-03-05T10:43:30,545,30.20183486238532,-1011.5072098372257,2672.9518083534203,0.8898169153573824,1.701935495632879
IDT,2022-03-06T02:29,2022-03-06T07:30,301,32.644518272425245,168.88599963114757,1078.8825278120348,0.8974027057121884,1.7121220688328835
IDT,2022-03-07T02:05:30,2022-03-07T09:33:30,448,31.43705357142857,-273.4485053995031,1165.4713506812695,0.9036507614786647,1.708834916182855
IDT,2022-03-08T00:28:30,2022-03-08T09:50:30,562,31.736832740213522,-136.4301439537121,1162.8271070804913,0.9049420684756598,1.7026130782843183
IDT,2022-03-09T00:20,2022-03-09T08:56:30,512,32.228125,127.24940622010763,1827.8208034830168,0.9009489983420549,1.7177615987363521
IDT,2022-03-10T01:07,2022-03-10T09:47:30,510,32.071176470588235,2.124522292993788,1821.215144304093,0.888147714112853,1.7125223960664722
IDT,2022-03-11T02:33,2022-03-11T09:35:30,423,31.985579196217497,-16.3417197452236,489.93336123926565,0.8817385357487961,1.710126444107112
IDT,2022-03-12T00:24,2022-03-12T10:48,624,31.968910256410258,-5.200709219861892,2050.4602041288745,0.8789068593418892,1.722840844983368
IDT,2022-03-13T01:23:30,2022-03-13T09:00,456,32.531140350877195,252.5764048008732,906.0587725045625,0.8843793659200218,1.7304582530331365
IDT,2022-03-14T00:34,2022-03-14T07:40,426,32.28145539906103,129.593746590288,1199.0272984866751,0.8534809651742434,1.7313183765217464
IDT,2022-03-15T01:04:30,2022-03-15T08:13:30,429,31.718881118881118,-91.69553571428514,1558.496296666679,0.8278003121975195,1.7425251744760044
IDT,2022-03-16T00:23,2022-03-16T08:50,507,32.10887573964497,66.73692375886458,1394.4747080727248,0.8261185349479407,1.743156880758478
IDT,2022-03-17T00:37:30,2022-03-17T09:27:30,530,33.02075471698113,528.1675851891996,1977.7332038576715,0.8035649401533732,1.7473818229490836
IDT,2022-03-17T23:56:30,2022-03-18T08:05:30,489,32.31226993865031,119.93174784563598,1610.2607446652837,0.8037726190118666,1.7424092257391586
IDT,2022-03-19T02:53,2022-03-19T11:58:30,546,31.890109890109887,-96.5878643686774,1402.3330687605776,0.798059265205376,1.743631915691388
IDT,2022-03-20T01:56,2022-03-20T10:57:30,542,31.270664206642067,-431.6198214062679,1967.8625096508767,0.7682178144669847,1.7488306630333326
IDT,2022-03-21T01:12:30,2022-03-21T08:11:30,419,32.07040572792363,-0.1614705882329872,1292.9330932524754,0.7675153631049068,1.746989176973494
IDT,2022-03-21T23:56,2022-03-22T08:31:30,516,31.3296511627907,-380.27869054315124,1652.8319234132068,0.7793844418338948,1.7564024030732512
IDT,2022-03-26T02:36:30,2022-03-26T09:23:30,407,32.351105651105655,114.24486873508249,1147.0055283348775,0.770790076732668,1.7605302154474725
IDT,2022-03-27T04:41,2022-03-27T11:32:30,412,32.53398058252427,190.67529411764735,1464.0295820069732,0.7765743181528084,1.7633517956365716
IDT,2022-03-28T01:47,2022-03-28T08:43:30,416,32.566346153846155,190.30769230769147,1046.8489849794423,0.7150803316839385,1.733049699237688
IDT,2022-03-29T02:03,2022-03-29T10:04:30,482,32.038796680497924,-15.60705882352886,1961.2498553631594,0.6666464352964072,1.736790160335409
IDT,2022-03-30T03:05,2022-03-30T08:54,349,33.48710601719198,494.1594117647055,1010.4668889272725,0.7212458602509473,1.751216811404037
IDT,2022-03-31T02:42,2022-03-31T11:32:30,526,32.894676806083645,413.3313609467441,1934.1213192818686,0.7234292171034147,1.749628086480384
IDT,2022-04-01T01:33,2022-04-01T09:41:30,489,32.926175869120655,399.659763313608,1314.5869251777185,0.6852668485229234,1.7472952885097024
