timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-12-01T08:49:00,14.2,1.2,13.136,13.4,1.1,15.194,,,,15.4,0.6,4.103
2021-12-02T08:37:00,15.6,0.8,6.41,13.8,1.0,6.721,,,,16.2,0.7,2.881
2021-12-03T09:35:30,13.4,1.1,7.759,13.4,1.3,8.557,,,,13.6,1.3,3.078
2021-12-04T11:15:30,13.2,0.7,14.481,13.0,1.4,14.179,,,,13.0,1.3,7.031
2021-12-05T11:59:30,13.4,0.7,8.245,13.2,1.1,13.179,,,,13.8,1.3,3.739
2021-12-06T10:40:00,14.6,0.9,13.385,13.4,1.4,12.217,,,,13.6,1.3,6.34
2021-12-07T09:30:00,13.2,0.6,11.745,13.2,0.6,11.745,13.0,1.1,12.559,12.2,1.1,5.494
2021-12-08T09:40:30,14.0,0.9,12.106,14.0,0.9,12.106,13.4,1.3,15.228,12.6,1.4,3.393
2021-12-09T09:32:00,14.4,0.9,10.199,14.4,0.9,10.199,12.6,1.5,10.91,12.8,1.5,5.991
2021-12-10T09:53:30,13.2,1.0,21.31,13.2,1.0,21.31,12.8,1.2,12.605,12.6,1.6,4.499
2021-12-11T11:28:30,16.0,1.0,5.453,16.0,1.0,5.453,14.6,1.5,4.534,13.0,0.7,3.424
2021-12-12T11:06:30,14.2,1.6,12.588,14.2,1.6,12.588,12.8,0.9,19.664,13.8,1.4,7.756
2021-12-13T10:05:30,13.8,1.6,8.502,13.8,1.6,8.502,13.0,1.1,10.616,13.2,1.1,7.301
2021-12-14T09:13:30,14.4,0.6,9.977,14.4,0.6,9.977,13.6,1.1,16.416,13.8,1.0,3.171
2021-12-15T10:00:00,14.0,0.6,10.499,14.0,0.6,10.499,13.0,1.3,18.207,13.0,1.4,6.853
2021-12-16T08:25:00,15.0,0.7,17.588,15.0,0.7,17.588,12.6,1.2,21.987,12.8,1.1,4.469
2021-12-17T11:03:30,14.0,0.6,11.485,14.0,0.6,11.485,13.8,1.2,10.891,13.2,1.4,5.21
2021-12-18T07:56:30,13.8,1.1,14.472,13.8,1.1,14.472,13.4,1.3,10.257,13.0,1.4,7.502
2021-12-18T09:56:30,13.8,0.9,14.513,13.8,0.9,14.513,13.2,1.3,12.894,12.8,1.3,8.13
2021-12-19T10:48:00,14.4,0.6,6.683,14.4,0.6,6.683,14.4,1.5,7.608,15.2,1.4,2.724
2021-12-20T11:20:00,13.6,0.8,13.623,13.6,0.8,13.623,13.4,1.4,17.97,14.6,1.4,6.735
2021-12-21T09:09:00,14.8,0.8,10.332,14.8,0.8,10.332,14.2,1.4,10.156,14.2,1.1,3.064
2021-12-22T09:26:00,14.2,1.7,10.677,14.2,1.7,10.677,13.2,1.5,13.14,13.6,1.4,4.599
2021-12-23T09:47:00,14.2,0.8,4.77,16.8,0.6,3.922,14.2,0.8,4.77,-1.0,0.0,1.995
2021-12-24T10:13:00,13.8,1.3,10.558,13.8,1.3,10.558,13.2,0.6,9.676,13.4,1.3,5.749
2021-12-25T11:06:30,17.4,1.1,11.634,17.4,1.1,11.634,14.0,1.2,5.258,14.0,0.6,3.102
2021-12-26T11:37:30,14.0,1.0,8.416,14.0,1.0,8.416,13.2,1.5,9.049,12.6,1.5,4.067
2021-12-27T08:02:30,16.0,1.0,9.363,16.0,1.0,9.363,13.8,1.0,15.595,13.6,1.4,5.412
2021-12-28T09:03:00,14.6,1.3,7.645,14.6,1.3,7.645,14.6,1.4,5.594,-1.0,0.0,2.259
2021-12-29T10:09:00,14.6,0.9,9.049,14.6,0.9,9.049,14.0,1.2,12.431,14.4,1.0,3.126
2021-12-30T09:39:00,15.2,0.8,7.341,15.2,0.8,7.341,13.6,1.3,7.316,14.0,1.6,3.068
2021-12-31T10:03:00,13.8,1.0,16.612,13.8,1.0,16.612,13.4,1.4,13.399,13.4,0.7,6.687
