timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-01-01T10:23:30,15.0,1.4,9.59,15.0,1.4,9.59,13.8,1.2,9.052,14.2,1.6,2.702
2022-01-02T09:53:30,14.0,0.9,11.872,14.0,0.9,11.872,13.2,1.2,16.135,13.6,1.4,6.565
2022-01-03T09:35:00,14.4,0.6,12.796,14.4,0.6,12.796,13.6,1.4,18.684,14.4,1.9,4.019
2022-01-04T09:54:30,14.0,1.2,16.733,14.0,1.2,16.733,13.6,1.5,25.86,13.4,0.7,5.609
2022-01-05T08:19:00,14.4,1.0,10.942,14.4,1.0,10.942,13.4,0.9,13.976,13.4,0.8,3.698
2022-01-06T10:08:30,14.2,0.9,9.692,14.2,0.9,9.692,12.8,1.3,9.082,13.6,1.3,3.761
2022-01-07T09:41:00,14.0,1.2,14.576,14.0,1.2,14.576,13.4,1.1,12.557,13.6,1.4,4.64
2022-01-08T08:52:00,16.6,0.7,5.697,16.6,0.7,5.697,14.4,1.4,9.301,13.8,1.4,3.274
2022-01-09T11:00:00,14.4,1.1,11.065,14.4,1.1,11.065,13.6,1.1,12.047,15.0,1.6,2.88
2022-01-10T08:59:00,14.0,1.0,17.259,14.0,1.0,17.259,13.6,1.7,6.446,13.6,1.2,3.657
2022-01-11T08:34:00,14.0,0.9,9.145,14.0,0.9,9.145,13.2,1.5,11.396,13.2,1.6,4.834
2022-01-11T09:45:30,13.6,1.4,9.264,13.6,1.4,9.264,13.2,1.6,11.046,13.0,1.7,5.139
2022-01-12T08:00:00,15.6,0.9,7.22,15.6,0.9,7.22,13.6,1.4,13.312,13.8,1.5,3.536
2022-01-13T07:42:30,13.4,1.2,12.237,13.4,1.2,12.237,13.6,1.5,12.0,13.6,1.6,4.937
2022-01-14T08:05:00,14.6,1.4,12.183,14.6,1.4,12.183,13.2,1.5,8.047,13.2,1.5,4.458
2022-01-15T10:46:00,13.8,1.3,11.001,13.8,1.3,11.001,13.2,1.3,12.651,14.0,2.2,5.544
2022-01-16T10:24:30,14.0,1.0,18.775,14.0,1.0,18.775,14.0,1.7,17.541,14.2,1.5,5.291
2022-01-17T08:14:30,14.2,0.8,7.582,14.2,0.8,7.582,13.8,1.2,10.845,13.0,1.1,4.617
2022-01-18T09:18:00,13.8,1.1,9.473,13.8,1.1,9.473,13.6,1.5,11.206,13.4,1.3,3.625
2022-01-19T09:55:00,13.6,1.4,11.865,13.6,1.4,11.865,13.8,1.4,8.638,14.0,1.4,4.997
2022-01-20T08:34:30,14.0,1.2,11.328,14.0,1.2,11.328,13.8,1.1,7.663,13.2,0.9,4.05
2022-01-21T09:47:00,13.4,1.3,12.24,13.4,1.3,12.24,12.8,1.2,10.96,13.4,1.6,5.254
2022-01-22T10:19:00,14.2,0.8,11.375,14.2,0.8,11.375,13.4,1.6,8.088,13.8,1.6,3.586
2022-01-23T12:14:00,16.0,1.9,9.997,16.0,1.9,9.997,14.2,1.1,5.785,-1.0,0.0,1.947
2022-01-24T07:55:30,15.4,1.0,11.055,15.4,1.0,11.055,12.4,0.6,7.428,13.2,1.3,5.784
2022-01-25T09:41:30,14.2,0.8,12.741,14.2,0.8,12.741,13.4,1.5,18.396,13.6,1.4,4.516
2022-01-26T10:13:00,13.0,0.8,12.248,13.0,0.8,12.248,13.4,1.2,14.076,13.4,0.9,5.455
2022-01-27T08:28:00,13.2,1.2,11.853,13.2,1.2,11.853,12.6,0.9,8.341,13.6,1.5,4.037
2022-01-28T10:01:30,14.4,1.0,7.444,14.4,1.0,7.444,13.4,1.0,11.183,13.4,1.4,4.475
2022-01-29T12:21:00,13.4,1.4,10.116,13.4,1.4,10.116,13.6,1.4,9.201,13.6,1.0,3.445
2022-01-30T10:05:30,14.0,0.7,7.873,14.0,0.7,7.873,13.8,1.3,8.357,14.0,1.9,3.467
2022-01-31T09:21:30,15.4,1.0,6.155,15.4,1.0,6.155,13.6,1.1,11.651,14.0,0.9,4.319
