type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-01-01T02:25,2022-01-01T10:23:30,479,32.96576200417537,93.00268981920453,473.3559087967733,0.7759848644973545,1.6607854740221413
IDT,2022-01-02T01:21,2022-01-02T09:53:30,500,31.7164,-512.6611022392553,1792.928331498406,0.7935621301762215,1.68715306235154
IDT,2022-01-03T01:27:30,2022-01-03T09:35,487,33.00061601642711,111.52987461785415,505.59173086704686,0.7965773161490798,1.6784756140390982
IDT,2022-01-04T01:49,2022-01-04T09:54:30,485,31.67319587628866,-532.7269215818087,2700.682006140356,0.8141131789105235,1.6965394776376732
IDT,2022-01-05T02:33:30,2022-01-05T08:19,345,32.093333333333334,-234.0026555581917,989.8713124876376,0.8191025769935756,1.7066923262349196
IDT,2022-01-06T01:56:30,2022-01-06T10:08:30,483,31.71614906832298,-411.10625797339526,2253.8278164491057,0.8173981822507864,1.7324779164700463
IDT,2022-01-07T01:41:30,2022-01-07T09:41,479,34.1152400835073,741.4629449911899,1349.0784108457156,0.8655524394247482,1.7376237750354957
IDT,2022-01-08T00:40:30,2022-01-08T08:52,489,33.61411042944785,411.9866708175159,1011.2549221499357,0.8843534070703077,1.7360584141243693
IDT,2022-01-09T01:46:30,2022-01-09T11:00,553,32.07359855334539,-289.0264222956139,1568.97470666375,0.8894853928430403,1.739232575900251
IDT,2022-01-10T01:50,2022-01-10T08:59,429,31.172494172494172,-515.3823194108154,1523.1137882547919,0.924705841596439,1.7550058117479659
IDT,2022-01-11T00:28,2022-01-11T09:45:30,558,31.64390681003584,-407.3091707021813,1440.8674740828574,0.911623139965891,1.7373647850194582
IDT,2022-01-12T00:26,2022-01-12T08:00,454,31.83590308370044,-210.48299062049045,1729.8686769613996,0.9165320478465417,1.7510933845645738
IDT,2022-01-13T00:10:30,2022-01-13T07:42:30,452,33.90663716814159,726.4160533910526,1703.8543420890346,0.9508806513150314,1.7601763113166449
IDT,2022-01-13T23:49,2022-01-14T08:05,296,32.98817567567567,121.36679505135362,1092.051786963013,0.9301544446445952,1.7558928444136601
IDT,2022-01-17T01:35:30,2022-01-17T08:14:30,385,32.15922077922078,-183.27856912144853,896.3792049329495,0.9467045537840856,1.7248999552625464
IDT,2022-01-18T01:20:30,2022-01-18T09:18,477,33.025995807127885,186.3766818936856,1018.2200158358319,0.9361221358709031,1.7114699238809172
IDT,2022-01-19T00:40:30,2022-01-19T09:55,554,32.36227436823105,1.806150793650886,1164.8874227087945,0.9314624962550916,1.7117474613677781
IDT,2022-01-20T00:55,2022-01-20T08:34:30,460,32.36978260869565,4.9534826084454835,1369.983319543302,0.9033298335315479,1.7188755225860095
IDT,2022-01-21T00:40,2022-01-21T09:47,539,32.30834879406308,-12.775694444440887,1425.6552474370692,0.8455362168949211,1.7160781645679453
IDT,2022-01-22T01:09,2022-01-22T10:19,550,32.61381818181818,154.97174036281285,849.1208732926752,0.8414560321909317,1.7154805220576506
IDT,2022-01-23T02:27,2022-01-23T12:14,587,33.083134582623515,425.05868324164476,1610.0767022131477,0.8481249832719897,1.7218677550167867
IDT,2022-01-24T02:29,2022-01-24T07:55:30,327,31.942201834862384,-136.29763301529965,1148.0081491302699,0.8532316211335819,1.7369165723837523
IDT,2022-01-25T00:26,2022-01-25T09:41:30,556,32.968525179856115,338.88812245716326,1798.135232990142,0.8542899457157355,1.7381451118857574
IDT,2022-01-26T01:30:30,2022-01-26T10:13,522,32.96264367816092,315.0946041774114,769.8819532217458,0.8263882002001068,1.7249090612611189
IDT,2022-01-27T02:10:30,2022-01-27T08:28,377,31.005835543766576,-510.1483414274262,1147.7089927351335,0.8574258038198018,1.7202670109003686
IDT,2022-01-28T01:29,2022-01-28T10:01:30,513,31.990643274853802,-176.81484112844555,1169.697559538763,0.8615218241832316,1.7237556139323
IDT,2022-01-29T02:15:30,2022-01-29T12:21,605,32.13090909090909,-62.239795918369055,1464.3349623072427,0.8198853597254672,1.7305419896659961
IDT,2022-01-30T01:48,2022-01-30T10:05:30,498,32.88012048192771,271.3148325887596,1117.2679284792393,0.7689603637039893,1.6610904852443582
IDT,2022-01-31T00:35:30,2022-01-31T09:21:30,526,31.56977186311787,-349.27079777365725,1407.7096961548086,0.778799427030883,1.6782158645567375
IDT,2022-02-01T00:24:30,2022-02-01T08:39:30,495,32.09070707070707,-70.82346938775845,1077.8105127598392,0.7699693707181785,1.663396666197884
