recorded_time,temperature,sensor_type
2021-12-03T00:00,-4.740949299696947,UNKNOWN
2021-12-03T00:01,-4.640949299696949,UNKNOWN
2021-12-03T00:02,-4.540949299696948,UNKNOWN
2021-12-03T00:03,-4.540949299696948,UNKNOWN
2021-12-03T00:04,-4.740949299696947,UNKNOWN
2021-12-03T00:05,-4.640949299696949,UNKNOWN
2021-12-03T00:06,-4.540949299696948,UNKNOWN
2021-12-03T00:07,-4.540949299696948,UNKNOWN
2021-12-03T00:08,-4.540949299696948,UNKNOWN
2021-12-03T00:09,-4.640949299696949,UNKNOWN
2021-12-03T00:10,-4.640949299696949,UNKNOWN
2021-12-03T00:11,-4.740949299696947,UNKNOWN
2021-12-03T00:12,-4.740949299696947,UNKNOWN
2021-12-03T00:13,-4.840949299696948,UNKNOWN
2021-12-03T00:14,-4.740949299696947,UNKNOWN
2021-12-03T00:15,-4.440949299696946,UNKNOWN
2021-12-03T00:16,-4.140949299696949,UNKNOWN
2021-12-03T00:17,-4.140949299696949,UNKNOWN
2021-12-03T00:18,-4.240949299696947,UNKNOWN
2021-12-03T00:19,-4.340949299696948,UNKNOWN
2021-12-03T00:20,-4.440949299696946,UNKNOWN
2021-12-03T00:21,-4.440949299696946,UNKNOWN
2021-12-03T00:22,-4.540949299696948,UNKNOWN
2021-12-03T00:23,-4.540949299696948,UNKNOWN
2021-12-03T00:24,-4.340949299696948,UNKNOWN
2021-12-03T00:25,-4.340949299696948,UNKNOWN
2021-12-03T00:26,-4.240949299696947,UNKNOWN
2021-12-03T00:27,-4.040949299696948,UNKNOWN
2021-12-03T00:28,-4.040949299696948,UNKNOWN
2021-12-03T00:29,-4.140949299696949,UNKNOWN
2021-12-03T00:30,-4.340949299696948,UNKNOWN
2021-12-03T00:31,-4.640949299696949,UNKNOWN
2021-12-03T00:32,-4.840949299696948,UNKNOWN
2021-12-03T00:33,-4.840949299696948,UNKNOWN
2021-12-03T00:34,-4.740949299696947,UNKNOWN
2021-12-03T00:35,-4.640949299696949,UNKNOWN
2021-12-03T00:36,-4.640949299696949,UNKNOWN
2021-12-03T00:37,-4.740949299696947,UNKNOWN
2021-12-03T00:39,-4.640949299696949,UNKNOWN
2021-12-03T00:40,-4.540949299696948,UNKNOWN
2021-12-03T00:41,-4.540949299696948,UNKNOWN
2021-12-03T00:42,-4.340949299696948,UNKNOWN
2021-12-03T00:43,-4.040949299696948,UNKNOWN
2021-12-03T00:44,-3.740949299696947,UNKNOWN
2021-12-03T00:45,-3.5409492996969476,UNKNOWN
2021-12-03T00:46,-3.240949299696947,UNKNOWN
2021-12-03T00:47,-3.140949299696949,UNKNOWN
2021-12-03T00:48,-2.940949299696946,UNKNOWN
2021-12-03T00:49,-2.8409492996969483,UNKNOWN
2021-12-03T00:50,-2.8409492996969483,UNKNOWN
2021-12-03T00:51,-2.740949299696947,UNKNOWN
2021-12-03T00:52,-2.740949299696947,UNKNOWN
2021-12-03T00:53,-2.740949299696947,UNKNOWN
2021-12-03T00:54,-2.740949299696947,UNKNOWN
2021-12-03T00:55,-2.740949299696947,UNKNOWN
2021-12-03T00:56,-2.5409492996969476,UNKNOWN
2021-12-03T00:57,-2.640949299696949,UNKNOWN
2021-12-03T00:58,-2.3409492996969483,UNKNOWN
2021-12-03T00:59,-2.0409492996969476,UNKNOWN
2021-12-03T01:00,-1.8409492996969483,UNKNOWN
2021-12-03T01:01,-1.740949299696947,UNKNOWN
2021-12-03T01:02,-1.640949299696949,UNKNOWN
2021-12-03T01:03,-1.640949299696949,UNKNOWN
2021-12-03T01:04,-1.5409492996969476,UNKNOWN
2021-12-03T01:05,-1.5409492996969476,UNKNOWN
2021-12-03T01:06,-1.4409492996969462,UNKNOWN
2021-12-03T01:07,-1.3409492996969483,UNKNOWN
2021-12-03T01:08,-1.240949299696947,UNKNOWN
2021-12-03T01:09,-1.140949299696949,UNKNOWN
2021-12-03T01:10,-1.0409492996969476,UNKNOWN
2021-12-03T01:11,-0.9409492996969462,UNKNOWN
2021-12-03T01:12,-0.7409492996969469,UNKNOWN
2021-12-03T01:13,-0.640949299696949,UNKNOWN
2021-12-03T01:14,-0.5409492996969476,UNKNOWN
2021-12-03T01:15,-0.4409492996969462,UNKNOWN
2021-12-03T01:16,-0.34094929969694476,UNKNOWN
2021-12-03T01:17,-0.24094929969695045,UNKNOWN
2021-12-03T01:18,-0.14094929969694903,UNKNOWN
2021-12-03T01:19,-0.040949299696947605,UNKNOWN
2021-12-03T01:20,-0.040949299696947605,UNKNOWN
2021-12-03T01:21,0.059050700303053816,UNKNOWN
2021-12-03T01:22,0.15905070030305524,UNKNOWN
2021-12-03T01:23,0.25905070030304955,UNKNOWN
2021-12-03T01:24,0.359050700303051,UNKNOWN
2021-12-03T01:25,0.4590507003030524,UNKNOWN
2021-12-03T01:26,0.4590507003030524,UNKNOWN
2021-12-03T01:27,0.5590507003030538,UNKNOWN
2021-12-03T01:28,0.6590507003030552,UNKNOWN
2021-12-03T01:29,0.6590507003030552,UNKNOWN
2021-12-03T01:30,0.7590507003030496,UNKNOWN
2021-12-03T01:31,0.7590507003030496,UNKNOWN
2021-12-03T01:32,0.7590507003030496,UNKNOWN
2021-12-03T01:33,0.859050700303051,UNKNOWN
2021-12-03T01:34,0.859050700303051,UNKNOWN
2021-12-03T01:35,0.859050700303051,UNKNOWN
2021-12-03T01:36,0.9590507003030524,UNKNOWN
2021-12-03T01:37,0.9590507003030524,UNKNOWN
2021-12-03T01:38,0.9590507003030524,UNKNOWN
2021-12-03T01:39,1.0590507003030538,UNKNOWN
2021-12-03T01:40,1.0590507003030538,UNKNOWN
2021-12-03T01:41,1.0590507003030538,UNKNOWN
2021-12-03T01:42,1.1590507003030552,UNKNOWN
2021-12-03T01:43,1.1590507003030552,UNKNOWN
2021-12-03T01:44,1.1590507003030552,UNKNOWN
2021-12-03T01:45,1.1590507003030552,UNKNOWN
2021-12-03T01:46,1.1590507003030552,UNKNOWN
2021-12-03T01:47,1.2590507003030496,UNKNOWN
2021-12-03T01:48,1.2590507003030496,UNKNOWN
2021-12-03T01:49,1.2590507003030496,UNKNOWN
2021-12-03T01:50,1.2590507003030496,UNKNOWN
2021-12-03T01:51,1.2590507003030496,UNKNOWN
2021-12-03T01:52,1.2590507003030496,UNKNOWN
2021-12-03T01:53,1.2590507003030496,UNKNOWN
2021-12-03T01:54,1.2590507003030496,UNKNOWN
2021-12-03T01:55,1.2590507003030496,UNKNOWN
2021-12-03T01:56,1.2590507003030496,UNKNOWN
2021-12-03T01:57,1.2590507003030496,UNKNOWN
2021-12-03T01:58,1.359050700303051,UNKNOWN
2021-12-03T01:59,1.359050700303051,UNKNOWN
2021-12-03T02:00,1.359050700303051,UNKNOWN
2021-12-03T02:01,1.359050700303051,UNKNOWN
2021-12-03T02:02,1.359050700303051,UNKNOWN
2021-12-03T02:03,1.359050700303051,UNKNOWN
2021-12-03T02:04,1.4590507003030524,UNKNOWN
2021-12-03T02:05,1.4590507003030524,UNKNOWN
2021-12-03T02:06,1.4590507003030524,UNKNOWN
2021-12-03T02:07,1.4590507003030524,UNKNOWN
2021-12-03T02:08,1.4590507003030524,UNKNOWN
2021-12-03T02:09,1.4590507003030524,UNKNOWN
2021-12-03T02:10,1.4590507003030524,UNKNOWN
