timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-04-01T08:38:30,13.2,0.8,12.03,13.2,0.8,12.03,13.4,1.1,12.49,13.0,1.2,4.768
2022-04-01T09:41:30,13.2,0.8,12.03,13.2,0.8,12.03,13.6,1.2,10.771,13.2,1.2,4.928
2022-04-02T11:03:00,13.6,1.1,7.656,13.6,1.1,7.656,13.8,1.0,8.942,13.0,0.8,3.578
2022-04-03T11:56:30,12.8,1.3,15.762,12.8,1.3,15.762,12.6,1.3,10.782,14.0,0.9,3.462
2022-04-04T09:26:00,12.0,0.6,17.258,12.0,0.6,17.258,12.8,1.5,9.638,13.0,0.8,4.361
2022-04-05T08:17:30,14.4,0.6,9.511,14.4,0.6,9.511,12.4,1.1,15.527,13.0,0.8,9.611
2022-04-06T10:44:00,12.8,1.2,11.505,12.8,1.2,11.505,12.8,1.2,12.449,13.2,1.2,3.468
2022-04-07T10:03:00,13.0,0.8,14.743,13.0,0.8,14.743,13.4,1.6,9.167,12.2,0.6,5.121
2022-04-08T08:20:00,15.0,1.1,5.114,15.0,1.1,5.114,13.6,0.9,6.987,15.0,0.6,3.379
2022-04-09T09:12:30,16.4,1.1,6.594,16.4,1.1,6.594,14.6,1.4,4.665,-1.0,0.0,2.269
2022-04-10T06:56:00,15.2,1.4,11.339,15.2,1.4,11.339,14.6,1.2,12.437,14.2,1.9,5.77
2022-04-11T17:33:30,19.8,1.3,6.077,-1.0,0.0,1.84,19.8,1.3,6.077,-1.0,0.0,0.0
2022-04-12T07:41:30,16.0,1.2,9.265,16.0,1.2,9.265,15.4,1.6,7.938,16.8,0.7,3.017
2022-04-13T09:08:00,15.2,0.8,12.999,15.2,0.8,12.999,14.6,1.4,10.333,15.2,1.1,5.21
2022-04-14T09:21:00,14.6,0.9,14.012,14.6,0.9,14.012,14.4,1.3,12.314,14.6,1.9,3.03
2022-04-15T11:05:00,14.4,1.1,13.006,14.4,1.1,13.006,14.2,1.2,15.102,14.2,1.3,5.362
2022-04-16T11:43:30,14.6,1.0,11.003,14.6,1.0,11.003,13.8,1.3,12.167,14.0,1.1,8.159
2022-04-17T08:51:00,14.2,0.9,12.867,14.2,0.9,12.867,13.2,1.3,12.412,13.2,1.0,5.087
2022-04-18T10:54:00,14.6,0.8,11.541,14.6,0.8,11.541,13.4,1.5,13.551,13.0,1.2,4.992
2022-04-19T08:47:30,15.2,0.9,6.658,15.2,0.9,6.658,13.8,1.1,11.341,-1.0,0.0,2.434
2022-04-20T09:06:00,14.6,1.3,8.328,14.6,1.3,8.328,14.0,1.4,13.542,14.2,0.8,7.822
2022-04-21T09:18:00,14.2,1.1,15.268,14.2,1.1,15.268,13.4,1.2,14.625,13.4,0.9,5.315
2022-04-22T08:30:30,16.4,1.0,6.728,16.4,1.0,6.728,13.8,1.3,8.879,13.8,0.8,3.891
2022-04-23T08:37:00,14.8,0.8,11.443,14.8,0.8,11.443,13.8,1.3,13.266,14.2,1.4,5.177
2022-04-24T09:55:30,13.6,1.1,13.011,13.6,1.1,13.011,13.6,1.4,14.126,13.6,1.0,8.536
2022-04-25T08:23:00,14.4,1.0,10.233,14.4,1.0,10.233,13.8,1.3,17.534,13.8,1.3,5.673
