timestamp,Infrared to Red Signal Ratio
02/28/22 00:36:31,0
02/28/22 00:37:31,0
02/28/22 00:38:32,7
02/28/22 00:39:32,16
02/28/22 00:40:32,0
02/28/22 00:41:32,0
02/28/22 00:42:32,50
02/28/22 00:43:32,-4
02/28/22 00:44:32,42
02/28/22 00:45:33,73
02/28/22 00:46:33,-10
02/28/22 00:47:33,32
02/28/22 00:48:33,-28
02/28/22 00:49:33,5
02/28/22 00:50:33,-1
02/28/22 00:51:33,34
02/28/22 00:52:34,0
02/28/22 00:53:34,0
02/28/22 00:54:34,21
02/28/22 00:55:34,-4
02/28/22 00:56:34,15
02/28/22 00:57:34,4
02/28/22 00:58:35,-5
02/28/22 00:59:35,-4
02/28/22 01:00:35,-1
02/28/22 01:01:35,0
02/28/22 01:02:35,-5
02/28/22 01:03:35,0
02/28/22 01:04:35,0
02/28/22 01:05:36,-29
02/28/22 01:06:36,-8
02/28/22 01:07:36,-5
02/28/22 01:08:36,0
02/28/22 01:09:36,0
02/28/22 01:10:36,-5
02/28/22 01:11:36,14
02/28/22 01:12:37,0
02/28/22 01:13:37,1
02/28/22 01:14:37,-38
02/28/22 01:15:37,4
02/28/22 01:16:37,6
02/28/22 01:17:37,18
02/28/22 01:18:38,0
02/28/22 01:19:38,29
02/28/22 01:20:38,-14
02/28/22 01:21:38,-2
02/28/22 01:22:38,5
02/28/22 01:23:38,22
02/28/22 01:24:38,-3
02/28/22 01:25:39,-1
02/28/22 01:26:39,-2
02/28/22 01:27:39,6
02/28/22 01:28:39,0
02/28/22 01:29:39,-5
02/28/22 01:30:39,0
02/28/22 01:31:39,0
02/28/22 01:32:40,-14
02/28/22 01:33:40,0
02/28/22 01:34:40,-21
02/28/22 01:35:40,0
02/28/22 01:36:40,-21
02/28/22 01:37:40,11
02/28/22 01:38:41,-18
02/28/22 01:39:41,0
02/28/22 01:40:41,17
02/28/22 01:41:41,0
02/28/22 01:42:41,10
02/28/22 01:43:41,-19
02/28/22 01:44:41,8
02/28/22 01:45:42,0
02/28/22 01:46:42,1
02/28/22 01:47:42,7
02/28/22 01:48:43,-8
02/28/22 01:49:43,0
02/28/22 01:50:43,17
02/28/22 01:51:43,-4
02/28/22 01:52:44,0
02/28/22 01:53:44,-22
02/28/22 01:54:44,0
02/28/22 01:55:44,-3
02/28/22 01:56:44,0
02/28/22 01:57:44,0
02/28/22 01:58:45,0
02/28/22 01:59:45,-5
02/28/22 02:00:45,0
02/28/22 02:01:45,-6
02/28/22 02:02:45,-7
02/28/22 02:03:45,0
02/28/22 02:04:45,1
02/28/22 02:05:46,10
02/28/22 02:06:46,1
02/28/22 02:07:46,9
02/28/22 02:08:46,0
02/28/22 02:09:46,0
02/28/22 02:10:46,21
02/28/22 02:11:46,11
02/28/22 02:12:47,-2
02/28/22 02:13:47,39
02/28/22 02:14:47,17
02/28/22 02:15:47,5
02/28/22 02:16:47,52
02/28/22 02:17:47,27
02/28/22 02:18:48,33
02/28/22 02:19:49,0
02/28/22 02:20:49,0
02/28/22 02:21:49,-1
02/28/22 02:22:49,2
02/28/22 02:23:49,0
02/28/22 02:24:49,-3
02/28/22 02:25:50,0
02/28/22 02:26:50,0
02/28/22 02:27:50,0
02/28/22 02:28:50,-11
02/28/22 02:29:50,0
02/28/22 02:30:50,13
02/28/22 02:31:50,31
02/28/22 02:32:51,52
02/28/22 02:33:51,3
02/28/22 02:34:51,4
02/28/22 02:35:51,0
02/28/22 02:36:51,1
02/28/22 02:37:51,48
02/28/22 02:38:52,2
02/28/22 02:39:52,2
02/28/22 02:40:52,-49
02/28/22 02:41:52,-3
02/28/22 02:42:52,7
02/28/22 02:43:52,2
02/28/22 02:44:52,14
02/28/22 02:45:53,-38
02/28/22 02:46:53,-13
02/28/22 02:47:53,-3
02/28/22 02:48:53,33
02/28/22 02:49:53,29
02/28/22 02:50:53,0
02/28/22 02:51:53,29
02/28/22 02:52:54,64
02/28/22 02:53:54,4
02/28/22 02:54:54,-4
02/28/22 02:55:54,8
02/28/22 02:56:54,36
02/28/22 02:57:54,-7
02/28/22 02:58:55,52
02/28/22 02:59:55,30
02/28/22 03:00:55,0
02/28/22 03:01:55,1
02/28/22 03:02:55,0
02/28/22 03:03:55,0
02/28/22 03:04:55,0
02/28/22 03:05:56,-7
02/28/22 03:06:56,32
02/28/22 03:07:56,64
02/28/22 03:08:56,0
02/28/22 03:09:56,-10
02/28/22 03:10:56,2
02/28/22 03:11:56,15
02/28/22 03:12:57,0
02/28/22 03:13:57,35
02/28/22 03:14:57,0
02/28/22 03:15:57,0
02/28/22 03:16:57,0
02/28/22 03:17:57,-1
02/28/22 03:18:58,0
02/28/22 03:19:58,62
02/28/22 03:20:58,-7
02/28/22 03:21:58,17
02/28/22 03:22:58,0
02/28/22 03:23:58,0
02/28/22 03:24:58,0
02/28/22 03:25:59,0
02/28/22 03:26:59,0
02/28/22 03:27:59,-9
02/28/22 03:29:00,27
02/28/22 03:30:00,-11
02/28/22 03:31:00,-19
02/28/22 03:32:00,0
02/28/22 03:33:01,0
02/28/22 03:34:01,0
02/28/22 03:35:01,-1
02/28/22 03:36:01,0
02/28/22 03:37:01,-9
02/28/22 03:38:01,15
02/28/22 03:39:02,-25
02/28/22 03:40:02,-10
02/28/22 03:41:02,40
02/28/22 03:42:02,-27
02/28/22 03:43:02,0
02/28/22 03:44:02,0
02/28/22 03:45:02,-17
02/28/22 03:46:03,-2
02/28/22 03:47:03,4
02/28/22 03:48:03,2
02/28/22 03:49:03,-7
02/28/22 03:50:03,5
02/28/22 03:51:03,0
02/28/22 03:52:03,29
02/28/22 03:53:04,0
02/28/22 03:54:04,-5
02/28/22 03:55:04,-14
02/28/22 03:56:04,-6
02/28/22 03:57:04,34
02/28/22 03:58:04,2
02/28/22 03:59:05,73
02/28/22 04:00:05,-3
02/28/22 04:01:05,-79
02/28/22 04:02:05,41
02/28/22 04:03:05,0
02/28/22 04:04:05,10
02/28/22 04:05:05,12
02/28/22 04:06:06,0
02/28/22 04:07:06,0
02/28/22 04:08:06,1
02/28/22 04:09:06,0
02/28/22 04:10:06,0
02/28/22 04:11:06,0
02/28/22 04:12:06,-1
02/28/22 04:13:07,-4
02/28/22 04:14:07,-7
02/28/22 04:15:07,14
02/28/22 04:16:07,-10
02/28/22 04:17:07,19
02/28/22 04:18:07,-21
02/28/22 04:19:08,-28
02/28/22 04:20:08,-16
02/28/22 04:21:08,3
02/28/22 04:22:08,-29
02/28/22 04:23:08,23
02/28/22 04:24:08,0
02/28/22 04:25:08,21
02/28/22 04:26:09,-1
02/28/22 04:27:09,1
02/28/22 04:28:09,41
02/28/22 04:29:09,0
02/28/22 04:30:09,4
02/28/22 04:31:09,9
02/28/22 04:32:09,0
02/28/22 04:33:10,9
02/28/22 04:34:10,3
02/28/22 04:35:10,31
02/28/22 04:36:10,0
02/28/22 04:37:10,-2
02/28/22 04:38:10,0
02/28/22 04:39:11,3
02/28/22 04:40:11,21
02/28/22 04:41:11,13
02/28/22 04:42:11,4
02/28/22 04:43:11,0
02/28/22 04:44:11,-1
02/28/22 04:45:11,9
02/28/22 04:46:12,-4
02/28/22 04:47:12,6
02/28/22 04:48:12,4
02/28/22 04:49:12,0
02/28/22 04:50:12,0
02/28/22 04:51:12,10
02/28/22 04:52:12,0
02/28/22 04:53:13,0
02/28/22 04:54:13,44
02/28/22 04:55:13,-3
02/28/22 04:56:13,4
02/28/22 04:57:13,-9
02/28/22 04:58:13,-14
02/28/22 04:59:14,0
02/28/22 05:00:14,26
02/28/22 05:01:14,2
02/28/22 05:02:14,0
02/28/22 05:03:14,23
02/28/22 05:04:14,0
02/28/22 05:05:14,0
02/28/22 05:06:15,-13
02/28/22 05:07:15,0
02/28/22 05:08:15,-21
02/28/22 05:09:15,0
02/28/22 05:10:15,0
02/28/22 05:11:15,12
02/28/22 05:12:16,8
02/28/22 05:13:16,-13
02/28/22 05:14:16,-7
02/28/22 05:15:16,-21
02/28/22 05:16:16,13
02/28/22 05:17:16,-11
02/28/22 05:18:16,1
02/28/22 05:19:17,35
02/28/22 05:20:17,0
02/28/22 05:21:17,-42
02/28/22 05:22:17,0
02/28/22 05:23:17,-3
02/28/22 05:24:17,-6
