timestamp,Infrared to Red Signal Ratio
04/10/22 00:00:03,19
04/10/22 00:01:03,3
04/10/22 00:02:03,-26
04/10/22 00:03:03,19
04/10/22 00:04:03,-7
04/10/22 00:05:03,-1
04/10/22 00:06:03,0
04/10/22 00:07:04,1
04/10/22 00:08:04,-18
04/10/22 00:09:04,30
04/10/22 00:10:04,-9
04/10/22 00:11:04,0
04/10/22 00:12:04,0
04/10/22 00:13:05,0
04/10/22 00:14:05,0
04/10/22 00:15:05,0
04/10/22 00:16:05,17
04/10/22 00:17:05,0
04/10/22 00:18:05,0
04/10/22 00:19:05,0
04/10/22 00:20:06,0
04/10/22 00:21:06,-5
04/10/22 00:22:06,0
04/10/22 00:23:06,44
04/10/22 00:29:01,8
04/10/22 00:30:01,-1
04/10/22 00:31:01,17
04/10/22 00:32:02,15
04/10/22 00:33:02,2
04/10/22 00:34:02,-3
04/10/22 00:35:02,-48
04/10/22 00:36:02,-3
04/10/22 00:37:02,0
04/10/22 00:38:02,0
04/10/22 00:39:03,-4
04/10/22 00:40:03,8
04/10/22 00:41:03,21
04/10/22 00:43:00,8
04/10/22 00:44:00,20
04/10/22 00:45:00,-8
04/10/22 00:46:01,-15
04/10/22 00:47:01,0
04/10/22 00:48:01,0
04/10/22 00:49:01,-4
04/10/22 00:50:01,8
04/10/22 00:51:01,-7
04/10/22 00:52:02,3
04/10/22 00:53:02,0
04/10/22 00:54:02,9
04/10/22 00:55:02,0
04/10/22 00:56:02,-28
04/10/22 00:57:02,5
04/10/22 00:58:02,8
04/10/22 00:59:03,3
04/10/22 01:00:03,-5
04/10/22 01:01:03,0
04/10/22 01:02:03,9
04/10/22 01:03:03,28
04/10/22 01:04:03,-47
04/10/22 01:05:03,4
04/10/22 01:06:04,-26
04/10/22 01:07:04,0
04/10/22 01:08:04,-8
04/10/22 01:09:04,4
04/10/22 01:10:04,-29
04/10/22 01:11:04,-2
04/10/22 01:12:05,0
04/10/22 01:13:05,-78
04/10/22 01:14:05,-8
04/10/22 01:15:05,-30
04/10/22 01:16:05,-79
04/10/22 01:17:05,0
04/10/22 01:18:05,-17
04/10/22 01:19:06,-20
04/10/22 01:20:06,0
04/10/22 01:21:06,4
04/10/22 01:22:06,-5
04/10/22 01:23:06,-8
04/10/22 01:24:06,-17
04/10/22 01:25:06,0
04/10/22 01:26:07,-1
04/10/22 01:27:07,2
04/10/22 01:28:07,-1
04/10/22 01:29:07,47
04/10/22 01:30:07,-9
04/10/22 01:31:07,-2
04/10/22 01:32:08,-43
04/10/22 01:33:08,-15
04/10/22 01:34:08,-62
04/10/22 01:35:08,0
04/10/22 01:36:08,3
04/10/22 01:37:08,0
04/10/22 01:38:08,0
04/10/22 01:39:09,0
04/10/22 01:40:09,20
04/10/22 01:41:09,-1
04/10/22 01:42:09,-42
04/10/22 01:43:09,-21
04/10/22 01:44:09,5
04/10/22 01:45:09,-1
04/10/22 01:46:10,-64
04/10/22 01:47:10,0
04/10/22 01:48:10,0
04/10/22 01:49:10,-2
04/10/22 01:50:10,-17
04/10/22 01:51:10,-45
04/10/22 01:52:11,-10
04/10/22 01:53:11,0
04/10/22 01:54:11,4
04/10/22 01:55:11,-43
04/10/22 01:56:11,-35
04/10/22 01:57:11,-2
04/10/22 01:58:11,8
04/10/22 01:59:12,-6
04/10/22 02:00:12,24
04/10/22 02:01:12,4
04/10/22 02:02:12,-7
04/10/22 02:03:12,-7
04/10/22 02:04:12,-1
04/10/22 02:05:12,8
04/10/22 02:06:13,-13
04/10/22 02:07:13,-21
04/10/22 02:08:13,-18
04/10/22 02:09:13,-1
04/10/22 02:10:13,7
04/10/22 02:11:13,-1
04/10/22 02:12:14,13
04/10/22 02:13:14,33
04/10/22 02:14:14,-2
04/10/22 02:15:14,0
04/10/22 02:16:14,0
04/10/22 02:17:14,26
04/10/22 02:18:14,-4
04/10/22 02:19:15,8
04/10/22 02:20:15,1
04/10/22 02:21:15,-17
04/10/22 02:22:15,0
04/10/22 02:23:15,0
04/10/22 02:24:15,-3
04/10/22 02:25:15,16
04/10/22 02:26:16,5
04/10/22 02:27:16,34
04/10/22 02:28:16,0
04/10/22 02:29:16,4
04/10/22 02:30:16,0
04/10/22 02:31:16,2
04/10/22 02:32:17,-4
04/10/22 02:33:17,-18
04/10/22 02:34:17,-7
04/10/22 02:35:17,26
04/10/22 02:36:17,20
04/10/22 02:37:17,21
04/10/22 02:38:17,4
04/10/22 02:39:18,23
04/10/22 02:40:18,8
04/10/22 02:41:18,26
04/10/22 02:42:18,-44
04/10/22 02:43:18,-50
04/10/22 02:44:18,2
04/10/22 02:45:19,-1
04/10/22 02:46:19,-8
04/10/22 02:47:19,4
04/10/22 02:48:19,3
04/10/22 02:49:19,10
04/10/22 02:50:19,-1
04/10/22 02:51:19,-30
04/10/22 02:52:20,-4
04/10/22 02:53:20,33
04/10/22 02:54:20,1
04/10/22 02:55:20,11
04/10/22 02:56:20,-35
04/10/22 02:57:20,8
04/10/22 02:58:20,-1
04/10/22 02:59:21,0
04/10/22 03:00:21,-5
04/10/22 03:01:21,-30
04/10/22 03:02:21,-30
04/10/22 03:03:21,0
04/10/22 03:04:21,20
04/10/22 03:05:22,29
04/10/22 03:06:22,-13
04/10/22 03:07:22,-17
04/10/22 03:08:22,-13
04/10/22 03:09:22,-12
04/10/22 03:10:22,-22
04/10/22 03:11:22,-3
04/10/22 03:12:23,-57
04/10/22 03:13:23,6
04/10/22 03:14:23,0
04/10/22 03:15:23,0
04/10/22 03:16:23,0
04/10/22 03:17:23,34
04/10/22 03:18:23,0
04/10/22 03:19:24,-17
04/10/22 03:20:24,0
04/10/22 03:21:24,36
04/10/22 03:22:24,18
04/10/22 03:23:24,-4
04/10/22 03:24:24,0
04/10/22 03:25:25,0
04/10/22 03:26:25,-11
04/10/22 03:27:25,-21
04/10/22 03:28:25,0
04/10/22 03:29:25,0
04/10/22 03:30:25,-3
04/10/22 03:31:25,17
04/10/22 03:32:26,-23
04/10/22 03:33:26,33
04/10/22 03:34:26,-16
04/10/22 03:35:26,-48
04/10/22 03:36:26,28
04/10/22 03:37:26,-7
04/10/22 03:38:26,6
04/10/22 03:39:27,14
04/10/22 03:40:27,-3
04/10/22 03:41:27,-5
04/10/22 03:42:27,-62
04/10/22 03:43:27,-23
04/10/22 03:44:27,-8
04/10/22 03:45:28,15
04/10/22 03:46:28,8
04/10/22 03:47:28,-52
04/10/22 03:48:28,-33
04/10/22 03:49:28,-76
04/10/22 03:50:28,-46
04/10/22 03:51:28,0
04/10/22 03:52:29,-41
04/10/22 03:53:29,-78
04/10/22 03:54:29,4
04/10/22 03:55:29,-56
04/10/22 03:56:29,0
04/10/22 03:57:29,-2
04/10/22 03:58:29,-14
04/10/22 03:59:30,-33
04/10/22 04:00:30,-1
04/10/22 04:01:30,-46
04/10/22 04:02:30,-39
04/10/22 04:03:30,-50
04/10/22 04:04:30,23
04/10/22 04:05:31,1
04/10/22 04:06:31,-5
04/10/22 04:07:31,0
04/10/22 04:08:31,-1
04/10/22 04:09:31,0
04/10/22 04:10:31,-1
04/10/22 04:11:31,-4
04/10/22 04:12:32,4
04/10/22 04:13:32,-59
04/10/22 04:14:32,-52
04/10/22 04:15:32,0
04/10/22 04:16:32,0
04/10/22 04:17:32,52
04/10/22 04:18:32,-2
04/10/22 04:19:33,12
04/10/22 04:20:33,4
04/10/22 04:21:33,14
04/10/22 04:22:33,40
04/10/22 04:23:33,6
04/10/22 04:24:33,-30
04/10/22 04:25:34,56
04/10/22 04:26:34,26
04/10/22 04:27:34,0
04/10/22 04:28:34,34
04/10/22 04:29:34,43
