timestamp,Infrared to Red Signal Ratio
03/25/22 00:33:01,0
03/25/22 00:34:01,0
03/25/22 00:35:02,0
03/25/22 00:36:02,23
03/25/22 00:37:02,1
03/25/22 00:38:02,1
03/25/22 00:39:02,0
03/25/22 00:40:02,30
03/25/22 00:41:03,20
03/25/22 00:42:03,1
03/25/22 00:43:03,58
03/25/22 00:44:03,2
03/25/22 00:45:03,0
03/25/22 00:46:03,0
03/25/22 00:47:03,0
03/25/22 00:48:04,14
03/25/22 00:49:04,-2
03/25/22 00:50:04,-1
03/25/22 00:51:04,13
03/25/22 00:52:04,-3
03/25/22 00:53:04,17
03/25/22 00:54:04,-2
03/25/22 00:55:05,42
03/25/22 00:56:06,0
03/25/22 00:57:06,-47
03/25/22 00:58:07,36
03/25/22 00:59:07,18
03/25/22 01:00:08,-1
03/25/22 01:01:09,0
03/25/22 01:02:09,-25
03/25/22 01:03:09,0
03/25/22 02:09:31,0
03/25/22 02:10:31,26
03/25/22 02:11:31,-8
03/25/22 02:12:32,-31
03/25/22 02:13:32,8
03/25/22 02:14:32,-36
03/25/22 02:15:32,17
03/25/22 02:16:32,47
03/25/22 02:17:32,3
03/25/22 02:18:32,0
03/25/22 02:19:33,7
03/25/22 02:21:00,0
03/25/22 02:22:00,-4
03/25/22 02:23:00,0
03/25/22 02:24:00,-5
03/25/22 02:25:00,10
03/25/22 02:26:01,-3
03/25/22 02:27:01,13
03/25/22 02:28:01,13
03/25/22 02:29:01,-54
03/25/22 02:30:01,9
03/25/22 02:31:01,-10
03/25/22 02:32:01,-10
03/25/22 02:33:02,0
03/25/22 02:34:02,-4
03/25/22 02:35:02,-39
03/25/22 02:36:02,-17
03/25/22 02:37:02,8
03/25/22 02:38:02,0
03/25/22 02:39:02,0
03/25/22 02:40:03,0
03/25/22 02:41:03,0
03/25/22 02:42:03,0
03/25/22 02:43:03,0
03/25/22 02:44:03,0
03/25/22 02:45:03,0
03/25/22 02:46:04,0
03/25/22 02:47:04,0
03/25/22 02:48:04,0
03/25/22 02:49:04,0
03/25/22 02:50:04,0
03/25/22 02:51:04,0
03/25/22 02:52:04,0
03/25/22 02:53:05,0
03/25/22 02:54:05,0
03/25/22 02:55:05,0
03/25/22 02:56:05,-1
03/25/22 02:57:05,-40
03/25/22 02:58:05,10
03/25/22 02:59:05,-31
03/25/22 03:00:06,6
03/25/22 03:01:06,0
03/25/22 03:02:06,-2
03/25/22 03:03:06,-3
03/25/22 03:04:06,0
03/25/22 03:05:06,-4
03/25/22 03:06:07,51
03/25/22 03:07:07,52
03/25/22 03:08:07,6
03/25/22 03:09:07,2
03/25/22 03:10:07,0
03/25/22 03:11:07,0
03/25/22 03:12:07,3
03/25/22 03:13:08,3
03/25/22 03:14:08,0
03/25/22 03:15:08,-5
03/25/22 03:16:08,19
03/25/22 03:17:08,-6
03/25/22 03:18:08,9
03/25/22 03:19:08,0
03/25/22 03:20:09,0
03/25/22 03:21:09,0
03/25/22 03:22:09,13
03/25/22 03:23:09,-52
03/25/22 03:24:09,-9
03/25/22 03:25:09,-17
03/25/22 03:26:10,0
03/25/22 03:27:10,-2
03/25/22 03:28:10,-34
03/25/22 03:29:10,36
03/25/22 03:30:10,-6
03/25/22 03:31:10,0
03/25/22 03:32:11,8
03/25/22 03:33:12,29
03/25/22 03:34:12,5
03/25/22 03:35:12,18
03/25/22 03:36:12,9
03/25/22 03:37:12,20
03/25/22 03:38:12,78
03/25/22 03:39:12,-7
