timestamp,Infrared to Red Signal Ratio
01/10/22 02:00:01,-25
01/10/22 02:01:01,13
01/10/22 02:02:01,8
01/10/22 02:03:01,1
01/10/22 02:04:01,1
01/10/22 02:05:02,-26
01/10/22 02:06:02,50
01/10/22 02:07:02,0
01/10/22 02:08:02,0
01/10/22 02:09:02,-8
01/10/22 02:10:02,10
01/10/22 02:11:30,0
01/10/22 02:12:31,0
01/10/22 02:13:31,-1
01/10/22 02:14:31,37
01/10/22 02:15:31,-1
01/10/22 02:16:31,-4
01/10/22 02:17:31,72
01/10/22 02:18:32,7
01/10/22 02:19:32,-41
01/10/22 02:20:32,13
01/10/22 02:21:32,-1
01/10/22 02:22:32,17
01/10/22 02:23:32,-6
01/10/22 02:24:32,0
01/10/22 02:25:33,24
01/10/22 02:26:33,-13
01/10/22 02:27:33,-22
01/10/22 02:28:33,0
01/10/22 02:29:33,-26
01/10/22 02:30:33,21
01/10/22 02:31:33,20
01/10/22 02:32:34,0
01/10/22 02:33:34,-17
01/10/22 02:34:34,-21
01/10/22 02:35:34,3
01/10/22 02:36:34,-7
01/10/22 02:37:34,0
01/10/22 02:38:35,0
01/10/22 02:39:35,0
01/10/22 02:40:35,0
01/10/22 02:41:35,0
01/10/22 02:42:35,-8
01/10/22 02:43:35,9
01/10/22 02:44:35,6
01/10/22 02:45:36,6
01/10/22 02:46:36,8
01/10/22 02:47:36,0
01/10/22 02:48:36,0
01/10/22 02:49:36,18
01/10/22 02:50:36,34
01/10/22 02:51:37,-1
01/10/22 02:52:37,-3
01/10/22 02:53:37,6
01/10/22 02:54:37,-8
01/10/22 02:55:37,34
01/10/22 02:56:37,-3
01/10/22 02:57:37,-22
01/10/22 02:58:38,1
01/10/22 02:59:38,-8
01/10/22 03:00:38,0
01/10/22 03:01:38,15
01/10/22 03:02:38,43
01/10/22 03:03:38,-7
01/10/22 03:04:38,-10
01/10/22 03:05:39,34
01/10/22 03:06:39,8
01/10/22 03:07:39,-6
01/10/22 03:08:39,-18
01/10/22 03:09:39,-8
01/10/22 03:10:39,-13
01/10/22 03:11:40,30
01/10/22 03:12:40,6
01/10/22 03:13:40,25
01/10/22 03:14:40,13
01/10/22 03:15:40,1
01/10/22 03:16:40,-24
01/10/22 03:17:40,-4
01/10/22 03:18:41,0
01/10/22 03:19:41,-1
01/10/22 03:20:41,20
01/10/22 03:21:41,1
01/10/22 03:22:41,0
01/10/22 03:23:41,-29
01/10/22 03:24:41,35
01/10/22 03:25:42,47
01/10/22 03:26:42,9
01/10/22 03:27:42,0
01/10/22 03:28:42,-1
01/10/22 03:29:42,-8
01/10/22 03:30:42,-13
01/10/22 03:31:43,-19
01/10/22 03:32:43,9
01/10/22 03:33:43,-4
01/10/22 03:34:43,-56
01/10/22 03:35:43,1
01/10/22 03:36:43,0
01/10/22 03:37:43,0
01/10/22 03:38:44,-10
01/10/22 03:39:44,27
01/10/22 03:40:44,0
01/10/22 03:41:44,0
01/10/22 03:42:44,0
01/10/22 03:43:44,0
01/10/22 03:44:44,11
01/10/22 03:45:45,-11
01/10/22 03:46:45,0
01/10/22 03:47:45,6
01/10/22 03:48:45,0
01/10/22 03:49:45,46
01/10/22 03:50:45,-55
01/10/22 03:51:46,0
01/10/22 03:52:46,-3
01/10/22 03:53:46,0
01/10/22 03:54:46,-3
01/10/22 03:55:46,0
01/10/22 03:56:46,-3
01/10/22 03:57:46,17
01/10/22 03:58:47,0
01/10/22 03:59:47,0
01/10/22 04:00:47,0
01/10/22 04:01:47,0
01/10/22 04:02:47,0
01/10/22 04:03:47,0
01/10/22 04:04:47,2
01/10/22 04:05:48,3
01/10/22 04:06:48,-1
01/10/22 04:07:48,0
01/10/22 04:08:48,0
01/10/22 04:09:48,1
01/10/22 04:10:48,-30
01/10/22 04:11:49,-31
01/10/22 04:12:49,0
01/10/22 04:13:49,4
01/10/22 04:14:49,28
01/10/22 04:15:49,-46
01/10/22 04:16:49,-23
01/10/22 04:17:49,-15
01/10/22 04:18:50,-12
01/10/22 04:19:50,-4
01/10/22 04:20:50,-16
01/10/22 04:21:50,-26
01/10/22 04:22:50,-34
01/10/22 04:23:50,0
01/10/22 04:24:50,8
01/10/22 04:25:51,0
01/10/22 04:26:51,0
01/10/22 04:27:51,26
01/10/22 04:28:51,-39
01/10/22 04:29:51,0
01/10/22 04:30:51,0
01/10/22 04:31:52,0
01/10/22 04:32:52,-1
01/10/22 04:33:52,13
01/10/22 04:34:52,-4
01/10/22 04:35:52,1
01/10/22 04:36:52,4
01/10/22 04:37:52,11
01/10/22 04:38:53,13
01/10/22 04:39:53,20
01/10/22 04:40:53,2
01/10/22 04:41:53,-26
01/10/22 04:42:53,-9
01/10/22 04:43:53,-6
01/10/22 04:44:53,12
01/10/22 04:45:54,17
01/10/22 04:46:54,-25
01/10/22 04:47:54,0
01/10/22 04:48:54,6
01/10/22 04:49:54,61
01/10/22 04:50:54,-13
01/10/22 04:51:55,0
01/10/22 04:52:55,9
01/10/22 04:53:55,0
01/10/22 04:54:55,0
01/10/22 04:55:55,-26
01/10/22 04:56:55,-5
01/10/22 04:57:55,-31
01/10/22 04:58:56,0
01/10/22 04:59:56,-9
01/10/22 05:00:56,6
01/10/22 05:01:56,0
01/10/22 05:02:56,0
01/10/22 05:03:56,0
01/10/22 05:04:56,0
01/10/22 05:05:57,-7
01/10/22 05:06:57,-16
01/10/22 05:07:57,3
01/10/22 05:08:57,0
01/10/22 05:09:57,34
01/10/22 05:10:57,0
01/10/22 05:11:58,0
01/10/22 05:12:58,0
01/10/22 05:13:58,9
01/10/22 05:14:58,12
01/10/22 05:15:58,-2
01/10/22 05:16:58,11
01/10/22 05:17:58,-11
01/10/22 05:18:59,-6
01/10/22 05:19:59,0
01/10/22 05:20:59,-20
01/10/22 05:21:59,-37
01/10/22 05:22:59,0
01/10/22 05:23:59,1
01/10/22 05:24:59,-60
01/10/22 05:26:00,-4
01/10/22 05:27:00,0
01/10/22 05:28:00,0
01/10/22 05:29:00,-5
01/10/22 05:30:00,6
01/10/22 05:31:00,-5
01/10/22 05:32:01,52
01/10/22 05:33:01,0
01/10/22 05:34:01,8
01/10/22 05:35:01,-31
01/10/22 05:36:01,0
01/10/22 05:37:01,8
01/10/22 05:38:01,58
01/10/22 05:39:02,-8
01/10/22 05:40:02,-5
01/10/22 05:41:02,27
01/10/22 05:42:02,-3
01/10/22 05:43:02,15
01/10/22 05:44:02,-33
01/10/22 05:45:02,-38
01/10/22 05:46:03,43
01/10/22 05:47:03,17
01/10/22 05:48:03,2
01/10/22 05:49:03,9
01/10/22 05:50:03,1
01/10/22 05:51:03,0
01/10/22 05:52:04,-34
01/10/22 05:53:04,0
01/10/22 05:54:04,0
01/10/22 05:55:04,-1
01/10/22 05:56:04,0
01/10/22 05:57:04,-8
01/10/22 05:58:04,0
01/10/22 05:59:05,-13
01/10/22 06:00:05,-1
01/10/22 06:01:05,42
01/10/22 06:02:05,8
01/10/22 06:03:05,0
