timestamp,Infrared to Red Signal Ratio
12/25/21 03:02:01,-63
12/25/21 03:03:01,-1
12/25/21 03:04:01,-8
12/25/21 03:05:01,0
12/25/21 03:06:02,23
12/25/21 03:07:02,25
12/25/21 03:08:02,0
12/25/21 03:09:02,2
12/25/21 03:10:02,6
12/25/21 03:11:02,-4
12/25/21 03:12:02,-63
12/25/21 03:13:03,4
12/25/21 03:14:03,4
12/25/21 03:15:03,-4
12/25/21 03:16:03,0
12/25/21 03:17:03,-8
12/25/21 03:18:03,21
12/25/21 03:19:04,22
12/25/21 03:20:04,25
12/25/21 03:21:04,-4
12/25/21 03:22:04,0
12/25/21 03:23:04,0
12/25/21 03:24:04,8
12/25/21 03:25:04,65
12/25/21 03:26:05,0
12/25/21 03:27:05,31
12/25/21 03:28:05,4
12/25/21 03:29:05,-21
12/25/21 03:30:05,-4
12/25/21 03:31:05,45
12/25/21 03:32:05,0
12/25/21 03:33:06,0
12/25/21 03:34:08,-6
12/25/21 03:35:08,7
12/25/21 03:36:08,0
12/25/21 03:37:08,-8
12/25/21 03:38:08,0
12/25/21 03:39:08,-1
12/25/21 03:40:09,0
12/25/21 03:41:09,0
12/25/21 03:42:09,1
12/25/21 03:43:09,7
12/25/21 03:44:09,8
12/25/21 03:45:09,0
12/25/21 03:46:09,2
12/25/21 03:47:10,4
12/25/21 03:48:10,29
12/25/21 03:49:10,7
12/25/21 03:50:10,-60
12/25/21 03:51:10,0
12/25/21 03:52:10,0
12/25/21 03:53:10,-24
12/25/21 03:54:11,-1
12/25/21 03:55:11,0
12/25/21 03:56:11,-33
12/25/21 03:57:11,30
12/25/21 03:58:11,-6
12/25/21 03:59:11,0
12/25/21 04:00:12,0
12/25/21 04:01:12,-13
12/25/21 04:02:12,0
12/25/21 04:03:12,25
12/25/21 04:04:12,-3
12/25/21 04:05:12,10
12/25/21 04:06:12,-15
12/25/21 04:07:13,0
12/25/21 04:08:13,0
12/25/21 04:09:13,0
12/25/21 04:10:13,0
12/25/21 04:11:13,2
12/25/21 04:12:13,0
12/25/21 04:13:13,-15
12/25/21 04:14:14,-1
12/25/21 04:15:14,-6
12/25/21 04:16:14,1
12/25/21 04:17:14,-3
12/25/21 04:18:14,4
12/25/21 04:19:14,11
12/25/21 04:20:15,0
12/25/21 04:21:15,-13
12/25/21 04:22:15,5
12/25/21 04:23:15,26
12/25/21 04:24:15,-36
12/25/21 04:25:15,-25
12/25/21 04:26:15,0
12/25/21 04:27:16,10
12/25/21 04:28:16,-1
12/25/21 04:29:16,0
12/25/21 04:30:16,15
12/25/21 04:31:16,2
12/25/21 04:32:16,0
12/25/21 04:33:16,6
12/25/21 04:34:17,0
12/25/21 04:35:17,20
12/25/21 04:36:17,11
12/25/21 04:37:17,8
12/25/21 04:38:17,0
12/25/21 04:39:17,-1
12/25/21 04:40:18,3
12/25/21 04:41:18,-12
12/25/21 04:42:18,2
12/25/21 04:43:18,3
12/25/21 04:44:18,-1
12/25/21 04:45:18,0
12/25/21 04:46:18,34
12/25/21 04:47:19,-68
12/25/21 04:48:19,-63
12/25/21 04:49:19,-81
12/25/21 04:50:19,-63
12/25/21 04:51:19,4
12/25/21 04:52:19,0
12/25/21 04:53:19,0
12/25/21 04:54:20,-7
12/25/21 04:55:20,-14
12/25/21 04:56:20,-10
12/25/21 04:57:20,6
12/25/21 04:58:20,0
12/25/21 04:59:20,-26
12/25/21 05:00:21,17
12/25/21 05:01:21,-5
12/25/21 05:02:21,-22
12/25/21 05:03:21,5
12/25/21 05:04:21,-45
12/25/21 05:05:21,-52
12/25/21 05:06:21,0
12/25/21 05:07:22,-4
12/25/21 05:08:22,0
12/25/21 05:09:22,-36
12/25/21 05:10:22,10
12/25/21 05:11:22,-13
12/25/21 05:12:22,-51
12/25/21 05:13:22,3
12/25/21 05:14:23,3
12/25/21 05:15:23,-43
12/25/21 05:16:23,12
12/25/21 05:17:23,-21
12/25/21 05:18:23,-8
12/25/21 05:19:23,-70
12/25/21 05:20:24,0
12/25/21 05:21:24,0
12/25/21 05:22:24,66
12/25/21 05:23:24,20
12/25/21 05:24:24,-1
12/25/21 05:25:24,15
12/25/21 05:26:24,11
12/25/21 05:27:25,17
12/25/21 05:28:25,3
12/25/21 05:29:25,7
12/25/21 05:30:25,16
12/25/21 05:31:25,0
12/25/21 05:32:25,34
12/25/21 05:33:25,0
12/25/21 05:34:26,1
12/25/21 05:35:26,13
12/25/21 05:36:26,44
12/25/21 05:37:26,1
12/25/21 05:38:26,11
12/25/21 05:39:26,-24
12/25/21 05:40:27,0
12/25/21 05:41:27,5
12/25/21 05:42:27,39
12/25/21 05:43:27,12
12/25/21 05:44:27,22
12/25/21 05:45:27,56
12/25/21 05:46:27,0
12/25/21 05:47:28,9
12/25/21 05:48:28,18
12/25/21 05:49:28,-2
12/25/21 05:50:28,-4
12/25/21 05:51:28,6
12/25/21 05:52:28,0
12/25/21 05:53:28,-57
12/25/21 05:54:29,23
12/25/21 05:55:29,-7
12/25/21 05:56:29,3
12/25/21 05:57:29,7
12/25/21 05:58:29,-7
12/25/21 05:59:29,8
12/25/21 06:00:30,2
12/25/21 06:01:30,-24
12/25/21 06:02:30,-4
12/25/21 06:03:30,8
12/25/21 06:04:30,0
12/25/21 06:05:30,24
12/25/21 06:06:30,-20
12/25/21 06:07:31,-6
12/25/21 06:08:31,8
12/25/21 06:09:31,60
12/25/21 06:10:31,1
12/25/21 06:11:31,11
12/25/21 06:12:31,0
12/25/21 06:13:31,0
12/25/21 06:14:32,-2
12/25/21 06:15:32,3
12/25/21 06:16:32,0
12/25/21 06:17:32,0
12/25/21 06:18:32,-26
12/25/21 06:19:32,0
12/25/21 06:20:33,21
12/25/21 06:21:33,0
12/25/21 06:22:33,0
12/25/21 06:23:33,12
12/25/21 06:24:33,-51
12/25/21 06:25:33,-76
12/25/21 06:26:33,-37
12/25/21 06:27:34,9
12/25/21 06:28:34,-29
12/25/21 06:29:34,-60
12/25/21 06:30:34,-6
12/25/21 06:31:34,-5
12/25/21 06:32:34,-28
12/25/21 06:33:34,-24
12/25/21 06:34:35,-30
12/25/21 06:35:35,22
12/25/21 06:36:35,-35
12/25/21 06:37:35,-9
12/25/21 06:38:35,0
12/25/21 06:39:35,-21
12/25/21 06:40:36,0
12/25/21 06:41:36,0
12/25/21 06:42:36,0
12/25/21 06:43:36,0
12/25/21 06:44:36,0
12/25/21 06:45:36,0
12/25/21 06:46:36,0
12/25/21 06:47:37,0
12/25/21 06:48:37,0
12/25/21 06:49:37,0
12/25/21 06:50:37,0
12/25/21 06:51:37,0
12/25/21 06:52:37,0
12/25/21 06:53:37,0
12/25/21 06:54:38,0
12/25/21 06:55:38,0
12/25/21 06:56:38,0
12/25/21 06:57:38,6
12/25/21 06:58:38,10
12/25/21 06:59:38,-5
12/25/21 07:00:39,8
12/25/21 07:01:39,10
12/25/21 07:02:39,0
12/25/21 07:03:39,-4
12/25/21 07:04:39,17
12/25/21 07:05:39,3
12/25/21 07:06:39,17
12/25/21 07:07:40,-8
12/25/21 07:08:40,0
12/25/21 07:09:40,21
12/25/21 07:10:40,13
12/25/21 07:11:40,12
12/25/21 07:12:40,11
12/25/21 07:13:40,0
12/25/21 07:14:41,-4
12/25/21 07:15:41,34
12/25/21 07:16:41,21
12/25/21 07:17:41,1
12/25/21 07:18:41,-15
12/25/21 07:19:41,8
12/25/21 07:20:42,7
12/25/21 07:21:42,3
12/25/21 07:22:42,4
12/25/21 07:23:42,-8
12/25/21 07:24:42,23
12/25/21 07:25:42,15
12/25/21 07:26:42,0
12/25/21 07:27:43,4
12/25/21 07:28:43,0
12/25/21 07:29:43,2
12/25/21 07:30:43,-1
12/25/21 07:31:43,-14
12/25/21 07:32:43,0
12/25/21 07:33:43,2
12/25/21 07:34:44,0
12/25/21 07:35:44,15
12/25/21 07:36:44,-4
12/25/21 07:37:44,6
12/25/21 07:38:44,9
12/25/21 07:39:45,-50
12/25/21 07:40:45,0
12/25/21 07:41:45,0
12/25/21 07:42:45,0
12/25/21 07:43:45,0
12/25/21 07:44:45,0
12/25/21 07:45:46,0
12/25/21 07:46:46,0
12/25/21 07:47:46,0
12/25/21 07:48:46,0
12/25/21 07:49:46,0
12/25/21 07:50:46,0
12/25/21 07:51:46,0
12/25/21 07:52:47,0
12/25/21 07:53:47,4
12/25/21 07:54:47,-15
12/25/21 07:55:47,-17
12/25/21 07:56:47,2
12/25/21 07:57:47,0
12/25/21 07:58:47,7
12/25/21 07:59:48,-28
12/25/21 08:00:48,4
12/25/21 08:01:48,2
12/25/21 08:02:48,-20
12/25/21 08:03:48,49
12/25/21 08:04:48,0
12/25/21 08:05:49,-13
12/25/21 08:06:49,-9
12/25/21 08:07:49,13
12/25/21 08:08:49,0
12/25/21 08:09:49,-11
12/25/21 08:10:49,0
12/25/21 08:11:49,22
12/25/21 08:12:50,0
12/25/21 08:13:50,0
12/25/21 08:14:50,4
12/25/21 08:15:50,0
12/25/21 08:16:50,4
12/25/21 08:17:50,21
12/25/21 08:18:50,-4
12/25/21 08:19:51,-45
12/25/21 08:20:51,2
12/25/21 08:21:51,0
12/25/21 08:22:51,27
12/25/21 08:23:51,78
12/25/21 08:24:51,0
12/25/21 08:25:52,0
12/25/21 08:26:52,0
12/25/21 08:27:52,0
12/25/21 08:28:52,0
12/25/21 08:29:52,0
12/25/21 08:30:52,0
12/25/21 08:31:52,0
12/25/21 08:32:53,0
12/25/21 08:33:53,0
12/25/21 08:34:53,0
12/25/21 08:35:53,0
12/25/21 08:36:53,23
12/25/21 08:37:54,0
12/25/21 08:38:54,0
12/25/21 08:39:54,9
12/25/21 08:40:54,0
12/25/21 08:41:54,11
12/25/21 08:42:54,4
12/25/21 08:43:54,0
12/25/21 08:44:55,0
12/25/21 08:45:55,1
12/25/21 08:46:55,0
12/25/21 08:47:55,17
12/25/21 08:48:55,0
12/25/21 08:49:55,3
12/25/21 08:50:56,2
12/25/21 08:51:56,13
12/25/21 08:52:56,0
12/25/21 08:53:56,-13
12/25/21 08:54:56,8
12/25/21 08:55:56,0
12/25/21 08:56:56,0
12/25/21 08:57:57,7
12/25/21 08:58:57,0
12/25/21 08:59:57,14
12/25/21 09:00:57,-17
12/25/21 09:01:57,-13
12/25/21 09:02:57,0
12/25/21 09:03:59,1
12/25/21 09:05:00,18
12/25/21 09:06:00,17
12/25/21 09:07:00,-7
12/25/21 09:08:00,26
12/25/21 09:09:00,-2
12/25/21 09:10:00,0
12/25/21 09:11:01,24
12/25/21 09:12:01,34
12/25/21 09:13:01,0
12/25/21 09:14:01,0
12/25/21 09:15:01,0
12/25/21 09:16:01,0
12/25/21 09:17:01,0
12/25/21 09:18:02,0
12/25/21 09:19:02,0
12/25/21 09:20:02,23
12/25/21 09:21:02,0
12/25/21 09:22:02,0
12/25/21 09:23:02,0
12/25/21 09:24:02,0
12/25/21 09:25:03,0
12/25/21 09:26:03,0
12/25/21 09:27:03,0
12/25/21 09:28:03,0
12/25/21 09:29:03,0
12/25/21 09:30:03,0
12/25/21 09:31:06,0
12/25/21 09:32:06,3
12/25/21 09:33:06,0
12/25/21 09:34:06,2
12/25/21 09:35:06,12
12/25/21 09:36:06,0
12/25/21 09:37:06,3
12/25/21 09:38:07,4
12/25/21 09:39:07,-2
12/25/21 09:40:07,13
12/25/21 09:41:07,-1
12/25/21 09:42:07,-1
12/25/21 09:43:07,-18
12/25/21 09:44:07,-12
12/25/21 09:45:08,-26
12/25/21 09:46:08,-2
12/25/21 09:47:08,0
12/25/21 09:48:08,1
