timestamp,Infrared to Red Signal Ratio
12/07/21 02:15:01,0
12/07/21 02:16:01,-1
12/07/21 02:17:01,4
12/07/21 02:18:01,-34
12/07/21 02:19:01,-3
12/07/21 02:20:02,-16
12/07/21 02:21:02,-8
12/07/21 02:22:02,-8
12/07/21 02:23:29,-67
12/07/21 02:24:29,32
12/07/21 02:25:29,17
12/07/21 02:26:30,-1
12/07/21 02:27:30,4
12/07/21 02:28:30,17
12/07/21 02:29:30,3
12/07/21 02:30:30,17
12/07/21 02:31:30,15
12/07/21 02:32:30,27
12/07/21 02:33:31,0
12/07/21 02:34:31,0
12/07/21 02:35:31,12
12/07/21 02:36:31,0
12/07/21 02:37:31,-2
12/07/21 02:38:31,3
12/07/21 02:39:32,11
12/07/21 02:40:32,4
12/07/21 02:41:32,8
12/07/21 02:42:32,13
12/07/21 02:43:32,0
12/07/21 02:44:32,51
12/07/21 02:45:32,8
12/07/21 02:46:33,0
12/07/21 02:47:33,0
12/07/21 02:48:33,71
12/07/21 02:49:33,34
12/07/21 02:50:33,-52
12/07/21 02:51:33,8
12/07/21 02:52:33,18
12/07/21 02:53:34,-1
12/07/21 02:54:34,14
12/07/21 02:55:34,41
12/07/21 02:56:34,1
12/07/21 02:57:34,-1
12/07/21 02:58:34,17
12/07/21 02:59:35,-40
12/07/21 03:00:35,3
12/07/21 03:01:35,-2
12/07/21 03:02:35,-1
12/07/21 03:03:35,0
12/07/21 03:04:35,0
12/07/21 03:05:35,13
12/07/21 03:06:36,-1
12/07/21 03:07:36,-2
12/07/21 03:08:36,-15
12/07/21 03:09:36,1
12/07/21 03:10:36,-2
12/07/21 03:11:36,5
12/07/21 03:12:36,8
12/07/21 03:13:37,22
12/07/21 03:14:37,2
12/07/21 03:15:37,-9
12/07/21 03:16:37,-7
12/07/21 03:17:37,-13
12/07/21 03:18:37,-5
12/07/21 03:19:38,0
12/07/21 03:20:38,12
12/07/21 03:21:38,0
12/07/21 03:22:38,-10
12/07/21 03:23:38,24
12/07/21 03:24:38,0
12/07/21 03:25:38,16
12/07/21 03:26:39,-20
12/07/21 03:27:39,20
12/07/21 03:28:39,-4
12/07/21 03:29:39,15
12/07/21 03:30:39,-24
12/07/21 03:31:39,-11
12/07/21 03:32:39,1
12/07/21 03:33:40,4
12/07/21 03:34:40,-6
12/07/21 03:35:40,4
12/07/21 03:36:40,0
12/07/21 03:37:40,-17
12/07/21 03:38:40,0
12/07/21 03:39:41,-35
12/07/21 03:40:41,-42
12/07/21 03:41:41,5
12/07/21 03:42:41,0
12/07/21 03:43:41,4
12/07/21 03:44:41,0
12/07/21 03:45:41,7
12/07/21 03:46:42,55
12/07/21 03:47:42,0
12/07/21 03:48:42,-4
12/07/21 03:49:42,12
12/07/21 03:50:42,24
12/07/21 03:51:42,26
12/07/21 03:52:42,18
12/07/21 03:53:43,49
12/07/21 03:54:43,0
12/07/21 03:55:43,-3
12/07/21 03:56:43,18
12/07/21 03:57:43,-1
12/07/21 03:58:43,0
12/07/21 03:59:44,0
12/07/21 04:00:44,12
12/07/21 04:01:44,-14
12/07/21 04:02:44,-1
12/07/21 04:03:44,-13
12/07/21 04:04:44,-6
12/07/21 04:05:44,41
12/07/21 04:06:45,-34
12/07/21 04:07:45,5
12/07/21 04:08:45,2
12/07/21 04:09:45,39
12/07/21 04:10:45,0
12/07/21 04:11:45,0
12/07/21 04:12:45,2
12/07/21 04:13:46,26
12/07/21 04:14:46,18
12/07/21 04:15:46,40
12/07/21 04:16:46,-13
12/07/21 04:17:46,-4
12/07/21 04:18:46,-1
12/07/21 04:19:47,-3
12/07/21 04:20:47,0
12/07/21 04:21:47,47
12/07/21 04:22:47,-9
12/07/21 04:23:47,1
12/07/21 04:24:47,0
12/07/21 04:25:47,-10
12/07/21 04:26:48,0
12/07/21 04:27:48,8
12/07/21 04:28:48,17
12/07/21 04:29:48,19
12/07/21 04:30:48,1
12/07/21 04:31:48,-44
12/07/21 04:32:48,44
12/07/21 04:33:49,0
12/07/21 04:34:49,5
12/07/21 04:35:49,7
12/07/21 04:36:49,-30
12/07/21 04:37:49,-2
12/07/21 04:38:49,0
12/07/21 04:39:50,16
12/07/21 04:40:50,14
12/07/21 04:41:50,0
12/07/21 04:42:50,0
12/07/21 04:43:50,-47
12/07/21 04:44:50,-5
12/07/21 04:45:50,52
12/07/21 04:46:51,-28
12/07/21 04:47:51,-4
12/07/21 04:48:51,0
12/07/21 04:49:51,-9
12/07/21 04:50:51,8
12/07/21 04:51:51,12
12/07/21 04:52:51,52
12/07/21 04:53:52,0
12/07/21 04:54:52,21
12/07/21 04:55:52,-56
12/07/21 04:56:52,2
12/07/21 04:57:52,0
12/07/21 04:58:52,13
12/07/21 04:59:53,-8
12/07/21 05:00:53,30
12/07/21 05:01:53,-11
12/07/21 05:02:53,-51
12/07/21 05:03:53,10
12/07/21 05:04:53,21
12/07/21 05:05:53,37
12/07/21 05:06:54,2
12/07/21 05:07:54,1
12/07/21 05:08:54,65
12/07/21 05:09:54,-14
12/07/21 05:10:54,-6
12/07/21 05:11:54,-18
12/07/21 05:12:54,0
12/07/21 05:13:55,49
12/07/21 05:14:55,-60
12/07/21 05:15:55,-17
12/07/21 05:16:55,4
12/07/21 05:17:55,-1
12/07/21 05:18:55,-2
12/07/21 05:19:56,-43
12/07/21 05:20:56,-7
12/07/21 05:21:56,-17
12/07/21 05:22:56,-5
12/07/21 05:23:56,-36
12/07/21 05:24:56,-14
12/07/21 05:25:56,-4
12/07/21 05:26:57,0
12/07/21 05:27:57,0
12/07/21 05:28:57,-10
12/07/21 05:29:57,0
12/07/21 05:30:57,1
12/07/21 05:31:57,-21
12/07/21 05:32:57,0
12/07/21 05:33:58,4
12/07/21 05:34:58,52
12/07/21 05:35:58,-1
12/07/21 05:36:58,3
12/07/21 05:37:58,30
12/07/21 05:38:58,-10
12/07/21 05:39:59,30
12/07/21 05:40:59,0
12/07/21 05:41:59,52
12/07/21 05:42:59,0
12/07/21 05:43:59,16
12/07/21 05:44:59,0
12/07/21 05:45:59,-3
12/07/21 05:47:00,0
12/07/21 05:48:00,-21
12/07/21 05:49:00,-4
12/07/21 05:50:00,-8
12/07/21 05:51:00,0
12/07/21 05:52:00,10
12/07/21 05:53:00,8
12/07/21 05:54:01,0
12/07/21 05:55:01,11
12/07/21 05:56:01,0
12/07/21 05:57:01,13
12/07/21 05:58:01,-1
12/07/21 05:59:01,0
12/07/21 06:00:02,0
12/07/21 06:01:02,0
12/07/21 06:02:02,1
12/07/21 06:03:02,-3
12/07/21 06:04:02,4
12/07/21 06:05:02,-25
12/07/21 06:06:02,0
12/07/21 06:07:03,-84
12/07/21 06:08:03,0
12/07/21 06:09:03,18
12/07/21 06:10:03,-4
12/07/21 06:11:03,0
12/07/21 06:12:03,0
12/07/21 06:13:03,0
12/07/21 06:14:04,-15
12/07/21 06:15:04,0
12/07/21 06:16:04,-1
12/07/21 06:17:04,-9
12/07/21 06:18:04,-3
12/07/21 06:19:04,0
12/07/21 06:20:05,13
12/07/21 06:21:05,17
12/07/21 06:22:05,2
12/07/21 06:23:05,2
12/07/21 06:24:05,1
12/07/21 06:25:05,-2
12/07/21 06:26:05,0
12/07/21 06:27:06,-1
12/07/21 06:28:06,26
12/07/21 06:29:06,0
12/07/21 06:30:06,-6
12/07/21 06:31:06,-34
12/07/21 06:32:06,-23
12/07/21 06:33:07,0
12/07/21 06:34:07,0
12/07/21 06:35:07,-30
12/07/21 06:36:07,8
12/07/21 06:37:07,-40
12/07/21 06:38:07,-6
12/07/21 06:39:07,-4
12/07/21 06:40:08,-1
12/07/21 06:41:08,-1
12/07/21 06:42:08,-21
12/07/21 06:43:08,-1
12/07/21 06:44:08,-3
12/07/21 06:45:08,8
12/07/21 06:46:08,16
12/07/21 06:47:09,-6
12/07/21 06:48:09,4
12/07/21 06:49:09,9
12/07/21 06:50:09,-9
12/07/21 06:51:09,-3
12/07/21 06:52:09,-22
12/07/21 06:53:10,-5
12/07/21 06:54:10,-17
12/07/21 06:55:10,3
12/07/21 06:56:10,-76
12/07/21 06:57:10,-8
12/07/21 06:58:10,0
